"Bestedingscategorieën";"Perioden";"CPI (2015 = 100)";"Jaarmutatie CPI (%)"
"071120 Tweedehands auto's";"2012 september";"   96.04";"    -6.4"
"071120 Tweedehands auto's";"2012 oktober";"   95.67";"    -5.9"
"071120 Tweedehands auto's";"2012 november";"   94.40";"    -5.8"
"071120 Tweedehands auto's";"2012 december";"   94.79";"    -4.5"
"071120 Tweedehands auto's";"2013 januari";"   95.05";"    -4.1"
"071120 Tweedehands auto's";"2013 februari";"   95.13";"    -3.2"
"071120 Tweedehands auto's";"2013 maart";"   95.59";"    -2.4"
"071120 Tweedehands auto's";"2013 april";"   96.10";"    -1.9"
"071120 Tweedehands auto's";"2013 mei";"   95.73";"    -1.1"
"071120 Tweedehands auto's";"2013 juni";"   96.28";"    -0.3"
"071120 Tweedehands auto's";"2013 juli";"   97.78";"     1.1"
"071120 Tweedehands auto's";"2013 augustus";"   97.48";"     2.1"
"071120 Tweedehands auto's";"2013 september";"   98.38";"     2.4"
"071120 Tweedehands auto's";"2013 oktober";"   97.63";"     2.0"
"071120 Tweedehands auto's";"2013 november";"   97.75";"     3.5"
"071120 Tweedehands auto's";"2013 december";"   98.53";"     3.9"
"071120 Tweedehands auto's";"2014 januari";"   97.37";"     2.4"
"071120 Tweedehands auto's";"2014 februari";"   97.49";"     2.5"
"071120 Tweedehands auto's";"2014 maart";"   98.23";"     2.8"
"071120 Tweedehands auto's";"2014 april";"   97.39";"     1.3"
"071120 Tweedehands auto's";"2014 mei";"   97.18";"     1.5"
"071120 Tweedehands auto's";"2014 juni";"   97.18";"     0.9"
"071120 Tweedehands auto's";"2014 juli";"   98.03";"     0.3"
"071120 Tweedehands auto's";"2014 augustus";"   99.18";"     1.7"
"071120 Tweedehands auto's";"2014 september";"   98.81";"     0.4"
"071120 Tweedehands auto's";"2014 oktober";"   98.81";"     1.2"
"071120 Tweedehands auto's";"2014 november";"   98.98";"     1.3"
"071120 Tweedehands auto's";"2014 december";"   99.52";"     1.0"
"071120 Tweedehands auto's";"2015 januari";"   99.16";"     1.8"
"071120 Tweedehands auto's";"2015 februari";"   98.98";"     1.5"
"071120 Tweedehands auto's";"2015 maart";"   99.81";"     1.6"
"071120 Tweedehands auto's";"2015 april";"   99.42";"     2.1"
"071120 Tweedehands auto's";"2015 mei";"   99.57";"     2.5"
"071120 Tweedehands auto's";"2015 juni";"  100.66";"     3.6"
"071120 Tweedehands auto's";"2015 juli";"   99.55";"     1.6"
"071120 Tweedehands auto's";"2015 augustus";"   99.88";"     0.7"
"071120 Tweedehands auto's";"2015 september";"  100.41";"     1.6"
"071120 Tweedehands auto's";"2015 oktober";"  100.54";"     1.8"
"071120 Tweedehands auto's";"2015 november";"  100.98";"     2.0"
"071120 Tweedehands auto's";"2015 december";"  101.05";"     1.5"
"071120 Tweedehands auto's";"2016 januari";"  100.27";"     1.1"
"071120 Tweedehands auto's";"2016 februari";"  100.13";"     1.2"
"071120 Tweedehands auto's";"2016 maart";"  100.37";"     0.6"
"071120 Tweedehands auto's";"2016 april";"  100.69";"     1.3"
"071120 Tweedehands auto's";"2016 mei";"  100.87";"     1.3"
"071120 Tweedehands auto's";"2016 juni";"  101.01";"     0.3"
"071120 Tweedehands auto's";"2016 juli";"  101.61";"     2.1"
"071120 Tweedehands auto's";"2016 augustus";"  102.26";"     2.4"
"071120 Tweedehands auto's";"2016 september";"  102.40";"     2.0"
"071120 Tweedehands auto's";"2016 oktober";"  102.41";"     1.9"
"071120 Tweedehands auto's";"2016 november";"  102.08";"     1.1"
"071120 Tweedehands auto's";"2016 december";"  102.70";"     1.6"
"071120 Tweedehands auto's";"2017 januari";"  103.20";"     2.9"
"071120 Tweedehands auto's";"2017 februari";"  102.83";"     2.7"
"071120 Tweedehands auto's";"2017 maart";"  102.86";"     2.5"
"071120 Tweedehands auto's";"2017 april";"  102.98";"     2.3"
"071120 Tweedehands auto's";"2017 mei";"  103.12";"     2.2"
"071120 Tweedehands auto's";"2017 juni";"  103.06";"     2.0"
"071120 Tweedehands auto's";"2017 juli";"  103.05";"     1.4"
"071120 Tweedehands auto's";"2017 augustus";"  103.10";"     0.8"
"071120 Tweedehands auto's";"2017 september";"  103.20";"     0.8"
"071120 Tweedehands auto's";"2017 oktober";"  103.57";"     1.1"
"071120 Tweedehands auto's";"2017 november";"  103.40";"     1.3"
"071120 Tweedehands auto's";"2017 december";"  103.15";"     0.4"
"071120 Tweedehands auto's";"2018 januari";"  102.59";"    -0.6"
"071120 Tweedehands auto's";"2018 februari";"  102.27";"    -0.5"
"071120 Tweedehands auto's";"2018 maart";"  102.27";"    -0.6"
"071120 Tweedehands auto's";"2018 april";"  102.35";"    -0.6"
"071120 Tweedehands auto's";"2018 mei";"  101.66";"    -1.4"
"071120 Tweedehands auto's";"2018 juni";"  102.41";"    -0.6"
"071120 Tweedehands auto's";"2018 juli";"  101.77";"    -1.2"
"071120 Tweedehands auto's";"2018 augustus";"  101.67";"    -1.4"
"071120 Tweedehands auto's";"2018 september";"  101.57";"    -1.6"
"071120 Tweedehands auto's";"2018 oktober";"  101.32";"    -2.2"
"071120 Tweedehands auto's";"2018 november";"  101.13";"    -2.2"
"071120 Tweedehands auto's";"2018 december";"  101.85";"    -1.3"
"071120 Tweedehands auto's";"2019 januari";"  100.39";"    -2.1"
"071120 Tweedehands auto's";"2019 februari";"  100.23";"    -2.0"
"071120 Tweedehands auto's";"2019 maart";"  100.16";"    -2.1"
"071120 Tweedehands auto's";"2019 april";"  100.30";"    -2.0"
"071120 Tweedehands auto's";"2019 mei";"  100.24";"    -1.4"
"071120 Tweedehands auto's";"2019 juni";"  100.73";"    -1.6"
"071120 Tweedehands auto's";"2019 juli";"  100.57";"    -1.2"
"071120 Tweedehands auto's";"2019 augustus";"  100.85";"    -0.8"
"071120 Tweedehands auto's";"2019 september";"  101.21";"    -0.4"
"071120 Tweedehands auto's";"2019 oktober";"  101.04";"    -0.3"
"071120 Tweedehands auto's";"2019 november";"  101.44";"     0.3"
"071120 Tweedehands auto's";"2019 december";"  101.19";"    -0.6"
"071120 Tweedehands auto's";"2020 januari";"  101.08";"     0.7"
"071120 Tweedehands auto's";"2020 februari";"  100.82";"     0.6"
"071120 Tweedehands auto's";"2020 maart";"  100.64";"     0.5"
"071120 Tweedehands auto's";"2020 april";"  101.03";"     0.7"
"071120 Tweedehands auto's";"2020 mei";"   99.59";"    -0.6"
"071120 Tweedehands auto's";"2020 juni";"   99.40";"    -1.3"
"071120 Tweedehands auto's";"2020 juli";"   98.73";"    -1.8"
"071120 Tweedehands auto's";"2020 augustus";"   99.32";"    -1.5"
"071120 Tweedehands auto's";"2020 september";"   99.99";"    -1.2"
"071120 Tweedehands auto's";"2020 oktober";"  101.12";"     0.1"
"071120 Tweedehands auto's";"2020 november";"  101.74";"     0.3"
"071120 Tweedehands auto's";"2020 december";"  101.86";"     0.7"
"071120 Tweedehands auto's";"2021 januari";"  101.80";"     0.7"
"071120 Tweedehands auto's";"2021 februari";"  101.45";"     0.6"
"071120 Tweedehands auto's";"2021 maart";"  101.21";"     0.6"
"071120 Tweedehands auto's";"2021 april";"  101.70";"     0.7"
"071120 Tweedehands auto's";"2021 mei";"  101.70";"     2.1"
"071120 Tweedehands auto's";"2021 juni";"  101.43";"     2.0"
"071120 Tweedehands auto's";"2021 juli";"  102.17";"     3.5"
"071120 Tweedehands auto's";"2021 augustus";"  104.25";"     5.0"
"071120 Tweedehands auto's";"2021 september";"  104.62";"     4.6"
