"Bestedingscategorieën";"Perioden";"CPI (2015 = 100)";"Jaarmutatie CPI (%)"
"072300 Onderhoud en rep. privévoertuigen";"2010 oktober";"   88.18";"     1.6"
"072300 Onderhoud en rep. privévoertuigen";"2010 november";"   88.43";"     1.7"
"072300 Onderhoud en rep. privévoertuigen";"2010 december";"   88.49";"     1.7"
"072300 Onderhoud en rep. privévoertuigen";"2011 januari";"   89.60";"     2.4"
"072300 Onderhoud en rep. privévoertuigen";"2011 februari";"   89.92";"     2.7"
"072300 Onderhoud en rep. privévoertuigen";"2011 maart";"   90.49";"     2.9"
"072300 Onderhoud en rep. privévoertuigen";"2011 april";"   90.32";"     2.6"
"072300 Onderhoud en rep. privévoertuigen";"2011 mei";"   90.28";"     2.6"
"072300 Onderhoud en rep. privévoertuigen";"2011 juni";"   90.38";"     2.6"
"072300 Onderhoud en rep. privévoertuigen";"2011 juli";"   90.57";"     2.7"
"072300 Onderhoud en rep. privévoertuigen";"2011 augustus";"   90.46";"     2.8"
"072300 Onderhoud en rep. privévoertuigen";"2011 september";"   90.59";"     2.8"
"072300 Onderhoud en rep. privévoertuigen";"2011 oktober";"   90.84";"     3.0"
"072300 Onderhoud en rep. privévoertuigen";"2011 november";"   91.02";"     2.9"
"072300 Onderhoud en rep. privévoertuigen";"2011 december";"   91.10";"     2.9"
"072300 Onderhoud en rep. privévoertuigen";"2012 januari";"   92.05";"     2.7"
"072300 Onderhoud en rep. privévoertuigen";"2012 februari";"   92.67";"     3.1"
"072300 Onderhoud en rep. privévoertuigen";"2012 maart";"   92.83";"     2.6"
"072300 Onderhoud en rep. privévoertuigen";"2012 april";"   92.83";"     2.8"
"072300 Onderhoud en rep. privévoertuigen";"2012 mei";"   92.70";"     2.7"
"072300 Onderhoud en rep. privévoertuigen";"2012 juni";"   92.98";"     2.9"
"072300 Onderhoud en rep. privévoertuigen";"2012 juli";"   92.85";"     2.5"
"072300 Onderhoud en rep. privévoertuigen";"2012 augustus";"   92.98";"     2.8"
"072300 Onderhoud en rep. privévoertuigen";"2012 september";"   93.10";"     2.8"
"072300 Onderhoud en rep. privévoertuigen";"2012 oktober";"   96.18";"     5.9"
"072300 Onderhoud en rep. privévoertuigen";"2012 november";"   96.60";"     6.1"
"072300 Onderhoud en rep. privévoertuigen";"2012 december";"   96.86";"     6.3"
"072300 Onderhoud en rep. privévoertuigen";"2013 januari";"   97.69";"     6.1"
"072300 Onderhoud en rep. privévoertuigen";"2013 februari";"   97.60";"     5.3"
