"Bestedingscategorieën";"Perioden";"CPI (2015 = 100)";"Jaarmutatie CPI (%)"
"072200 Brandstoffen en smeermiddelen";"2019 april";"  110.64";"     6.1"
"072200 Brandstoffen en smeermiddelen";"2019 mei";"  111.94";"     3.4"
"072200 Brandstoffen en smeermiddelen";"2019 juni";"  107.85";"    -0.1"
"072200 Brandstoffen en smeermiddelen";"2019 juli";"  108.45";"     0.6"
"072200 Brandstoffen en smeermiddelen";"2019 augustus";"  106.99";"    -1.9"
"072200 Brandstoffen en smeermiddelen";"2019 september";"  107.32";"    -1.9"
"072200 Brandstoffen en smeermiddelen";"2019 oktober";"  107.25";"    -1.5"
"072200 Brandstoffen en smeermiddelen";"2019 november";"  108.07";"     3.5"
"072200 Brandstoffen en smeermiddelen";"2019 december";"  108.71";"     9.4"
"072200 Brandstoffen en smeermiddelen";"2020 januari";"  110.97";"     9.6"
"072200 Brandstoffen en smeermiddelen";"2020 februari";"  108.36";"     4.6"
"072200 Brandstoffen en smeermiddelen";"2020 maart";"  101.76";"    -4.1"
"072200 Brandstoffen en smeermiddelen";"2020 april";"   95.84";"   -13.4"
"072200 Brandstoffen en smeermiddelen";"2020 mei";"   96.12";"   -14.1"
"072200 Brandstoffen en smeermiddelen";"2020 juni";"   99.28";"    -7.9"
"072200 Brandstoffen en smeermiddelen";"2020 juli";"  100.73";"    -7.1"
"072200 Brandstoffen en smeermiddelen";"2020 augustus";"  100.73";"    -5.9"
"072200 Brandstoffen en smeermiddelen";"2020 september";"  100.14";"    -6.7"
"072200 Brandstoffen en smeermiddelen";"2020 oktober";"  100.00";"    -6.8"
"072200 Brandstoffen en smeermiddelen";"2020 november";"   98.49";"    -8.9"
"072200 Brandstoffen en smeermiddelen";"2020 december";"  100.66";"    -7.4"
"072200 Brandstoffen en smeermiddelen";"2021 januari";"  104.93";"    -5.4"
"072200 Brandstoffen en smeermiddelen";"2021 februari";"  109.13";"     0.7"
"072200 Brandstoffen en smeermiddelen";"2021 maart";"  112.60";"    10.7"
"072200 Brandstoffen en smeermiddelen";"2021 april";"  113.38";"    18.3"
"072200 Brandstoffen en smeermiddelen";"2021 mei";"  115.12";"    19.8"
"072200 Brandstoffen en smeermiddelen";"2021 juni";"  116.59";"    17.4"
"072200 Brandstoffen en smeermiddelen";"2021 juli";"  119.01";"    18.1"
"072200 Brandstoffen en smeermiddelen";"2021 augustus";"  119.17";"    18.3"
"072200 Brandstoffen en smeermiddelen";"2021 september";"  120.54";"    20.4"
"072200 Brandstoffen en smeermiddelen";"2021 oktober";"  127.26";"    27.3"
"072200 Brandstoffen en smeermiddelen";"2021 november";"  131.07";"    33.1"
"072200 Brandstoffen en smeermiddelen";"2021 december";"  128.69";"    27.8"
"072200 Brandstoffen en smeermiddelen";"2022 januari";"  131.05";"    24.9"
"072200 Brandstoffen en smeermiddelen";"2022 februari";"  135.31";"    24.0"
"072200 Brandstoffen en smeermiddelen";"2022 maart";"  153.70";"    36.5"
"072200 Brandstoffen en smeermiddelen";"2022 april";"  141.45";"    24.8"
"072200 Brandstoffen en smeermiddelen";"2022 mei";"  146.51";"    27.3"
"072200 Brandstoffen en smeermiddelen";"2022 juni";"  157.17";"    34.8"
"072200 Brandstoffen en smeermiddelen";"2022 juli";"  148.25";"    24.6"
"072200 Brandstoffen en smeermiddelen";"2022 augustus";"  139.12";"    16.7"
"072200 Brandstoffen en smeermiddelen";"2022 september";"  134.26";"    11.4"
"072200 Brandstoffen en smeermiddelen";"2022 oktober";"  136.75";"     7.5"
