"Wegvoertuigen";"Brandstofsoort voertuig";"Perioden";"Totaal verkochte wegvoertuigen (aantal)"
"Bestelauto";"Full elektric (BEV)";"2023 juni*";1484
"Bestelauto";"Full elektric (BEV)";"2023 juli*";1156
"Bestelauto";"Full elektric (BEV)";"2023 augustus*";1084
"Bestelauto";"Full elektric (BEV)";"2023 september*";1092
"Bestelauto";"Full elektric (BEV)";"2023 oktober*";1314
"Bestelauto";"Full elektric (BEV)";"2023 november*";1248
"Bestelauto";"Full elektric (BEV)";"2023 december*";1090
"Bestelauto";"Full elektric (BEV)";"2024 januari*";1193
"Bestelauto";"Full elektric (BEV)";"2024 februari*";1144
"Bestelauto";"Full elektric (BEV)";"2024 maart*";1353
"Bestelauto";"Full elektric (BEV)";"2024 april*";986
"Bestelauto";"Full elektric (BEV)";"2024 mei*";1251
"Bestelauto";"Full elektric (BEV)";"2024 juni*";1276
"Bestelauto";"Full elektric (BEV)";"2024 juli*";1267
"Bestelauto";"Full elektric (BEV)";"2024 augustus*";1002
"Bestelauto";"Full elektric (BEV)";"2024 september*";1100
"Bestelauto";"Full elektric (BEV)";"2024 oktober*";1446
"Bestelauto";"Full elektric (BEV)";"2024 november*";1768
"Bestelauto";"Full elektric (BEV)";"2024 december*";2102
"Bestelauto";"Full elektric (BEV)";"2025 januari*";1673
"Bestelauto";"Full elektric (BEV)";"2025 februari*";1685
"Bestelauto";"Full elektric (BEV)";"2025 maart*";1751
"Bestelauto";"Full elektric (BEV)";"2025 april*";1919
"Bestelauto";"Full elektric (BEV)";"2025 mei*";1574
"Bestelauto";"Full elektric (BEV)";"2025 juni*";1914
"Bestelauto";"Full elektric (BEV)";"2025 juli*";1873
"Bestelauto";"Full elektric (BEV)";"2025 augustus*";1587
"Bestelauto";"Full elektric (BEV)";"2025 september*";2062
"Bestelauto";"Totaal hybrides";"2021 januari";40
"Bestelauto";"Totaal hybrides";"2021 februari";50
"Bestelauto";"Totaal hybrides";"2021 maart";76
"Bestelauto";"Totaal hybrides";"2021 april";65
"Bestelauto";"Totaal hybrides";"2021 mei";59
"Bestelauto";"Totaal hybrides";"2021 juni";75
"Bestelauto";"Totaal hybrides";"2021 juli";71
"Bestelauto";"Totaal hybrides";"2021 augustus";24
"Bestelauto";"Totaal hybrides";"2021 september";40
"Bestelauto";"Totaal hybrides";"2021 oktober";47
"Bestelauto";"Totaal hybrides";"2021 november";46
"Bestelauto";"Totaal hybrides";"2021 december";42
"Bestelauto";"Totaal hybrides";"2022 januari*";59
"Bestelauto";"Totaal hybrides";"2022 februari*";41
"Bestelauto";"Totaal hybrides";"2022 maart*";51
"Bestelauto";"Totaal hybrides";"2022 april*";43
"Bestelauto";"Totaal hybrides";"2022 mei*";42
"Bestelauto";"Totaal hybrides";"2022 juni*";48
"Bestelauto";"Totaal hybrides";"2022 juli*";56
"Bestelauto";"Totaal hybrides";"2022 augustus*";58
"Bestelauto";"Totaal hybrides";"2022 september*";37
"Bestelauto";"Totaal hybrides";"2022 oktober*";41
"Bestelauto";"Totaal hybrides";"2022 november*";47
"Bestelauto";"Totaal hybrides";"2022 december*";55
"Bestelauto";"Totaal hybrides";"2023 januari*";60
"Bestelauto";"Totaal hybrides";"2023 februari*";55
"Bestelauto";"Totaal hybrides";"2023 maart*";66
"Bestelauto";"Totaal hybrides";"2023 april*";57
"Bestelauto";"Totaal hybrides";"2023 mei*";45
"Bestelauto";"Totaal hybrides";"2023 juni*";44
"Bestelauto";"Totaal hybrides";"2023 juli*";65
"Bestelauto";"Totaal hybrides";"2023 augustus*";40
"Bestelauto";"Totaal hybrides";"2023 september*";64
"Bestelauto";"Totaal hybrides";"2023 oktober*";70
"Bestelauto";"Totaal hybrides";"2023 november*";56
"Bestelauto";"Totaal hybrides";"2023 december*";55
"Bestelauto";"Totaal hybrides";"2024 januari*";67
"Bestelauto";"Totaal hybrides";"2024 februari*";52
"Bestelauto";"Totaal hybrides";"2024 maart*";72
"Bestelauto";"Totaal hybrides";"2024 april*";52
"Bestelauto";"Totaal hybrides";"2024 mei*";78
"Bestelauto";"Totaal hybrides";"2024 juni*";66
"Bestelauto";"Totaal hybrides";"2024 juli*";69
"Bestelauto";"Totaal hybrides";"2024 augustus*";76
"Bestelauto";"Totaal hybrides";"2024 september*";113
"Bestelauto";"Totaal hybrides";"2024 oktober*";161
"Bestelauto";"Totaal hybrides";"2024 november*";241
"Bestelauto";"Totaal hybrides";"2024 december*";535
"Bestelauto";"Totaal hybrides";"2025 januari*";101
"Bestelauto";"Totaal hybrides";"2025 februari*";113
"Bestelauto";"Totaal hybrides";"2025 maart*";108
"Bestelauto";"Totaal hybrides";"2025 april*";117
"Bestelauto";"Totaal hybrides";"2025 mei*";156
"Bestelauto";"Totaal hybrides";"2025 juni*";186
"Bestelauto";"Totaal hybrides";"2025 juli*";221
"Bestelauto";"Totaal hybrides";"2025 augustus*";187
"Bestelauto";"Totaal hybrides";"2025 september*";232
"Bestelauto";"Overige/onbekende brandstof";"2021 januari";86
"Bestelauto";"Overige/onbekende brandstof";"2021 februari";88
"Bestelauto";"Overige/onbekende brandstof";"2021 maart";96
"Bestelauto";"Overige/onbekende brandstof";"2021 april";97
"Bestelauto";"Overige/onbekende brandstof";"2021 mei";79
"Bestelauto";"Overige/onbekende brandstof";"2021 juni";74
"Bestelauto";"Overige/onbekende brandstof";"2021 juli";68
"Bestelauto";"Overige/onbekende brandstof";"2021 augustus";63
"Bestelauto";"Overige/onbekende brandstof";"2021 september";68
"Bestelauto";"Overige/onbekende brandstof";"2021 oktober";77
"Bestelauto";"Overige/onbekende brandstof";"2021 november";79
"Bestelauto";"Overige/onbekende brandstof";"2021 december";121
"Bestelauto";"Overige/onbekende brandstof";"2022 januari*";79
"Bestelauto";"Overige/onbekende brandstof";"2022 februari*";76
"Bestelauto";"Overige/onbekende brandstof";"2022 maart*";98
"Bestelauto";"Overige/onbekende brandstof";"2022 april*";73
"Bestelauto";"Overige/onbekende brandstof";"2022 mei*";90
"Bestelauto";"Overige/onbekende brandstof";"2022 juni*";85
"Bestelauto";"Overige/onbekende brandstof";"2022 juli*";59
"Bestelauto";"Overige/onbekende brandstof";"2022 augustus*";62
"Bestelauto";"Overige/onbekende brandstof";"2022 september*";109
"Bestelauto";"Overige/onbekende brandstof";"2022 oktober*";144
"Bestelauto";"Overige/onbekende brandstof";"2022 november*";97
"Bestelauto";"Overige/onbekende brandstof";"2022 december*";88
"Bestelauto";"Overige/onbekende brandstof";"2023 januari*";90
"Bestelauto";"Overige/onbekende brandstof";"2023 februari*";120
"Bestelauto";"Overige/onbekende brandstof";"2023 maart*";141
"Bestelauto";"Overige/onbekende brandstof";"2023 april*";106
"Bestelauto";"Overige/onbekende brandstof";"2023 mei*";109
"Bestelauto";"Overige/onbekende brandstof";"2023 juni*";139
"Bestelauto";"Overige/onbekende brandstof";"2023 juli*";107
"Bestelauto";"Overige/onbekende brandstof";"2023 augustus*";95
"Bestelauto";"Overige/onbekende brandstof";"2023 september*";91
"Bestelauto";"Overige/onbekende brandstof";"2023 oktober*";139
"Bestelauto";"Overige/onbekende brandstof";"2023 november*";151
"Bestelauto";"Overige/onbekende brandstof";"2023 december*";105
"Bestelauto";"Overige/onbekende brandstof";"2024 januari*";131
"Bestelauto";"Overige/onbekende brandstof";"2024 februari*";107
"Bestelauto";"Overige/onbekende brandstof";"2024 maart*";142
"Bestelauto";"Overige/onbekende brandstof";"2024 april*";108
"Bestelauto";"Overige/onbekende brandstof";"2024 mei*";106
"Bestelauto";"Overige/onbekende brandstof";"2024 juni*";117
"Bestelauto";"Overige/onbekende brandstof";"2024 juli*";104
"Bestelauto";"Overige/onbekende brandstof";"2024 augustus*";105
"Bestelauto";"Overige/onbekende brandstof";"2024 september*";82
"Bestelauto";"Overige/onbekende brandstof";"2024 oktober*";113
"Bestelauto";"Overige/onbekende brandstof";"2024 november*";121
"Bestelauto";"Overige/onbekende brandstof";"2024 december*";122
"Bestelauto";"Overige/onbekende brandstof";"2025 januari*";90
"Bestelauto";"Overige/onbekende brandstof";"2025 februari*";87
"Bestelauto";"Overige/onbekende brandstof";"2025 maart*";81
"Bestelauto";"Overige/onbekende brandstof";"2025 april*";110
"Bestelauto";"Overige/onbekende brandstof";"2025 mei*";128
"Bestelauto";"Overige/onbekende brandstof";"2025 juni*";142
"Bestelauto";"Overige/onbekende brandstof";"2025 juli*";118
"Bestelauto";"Overige/onbekende brandstof";"2025 augustus*";93
"Bestelauto";"Overige/onbekende brandstof";"2025 september*";177
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2021 januari";1296
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2021 februari";1113
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2021 maart";1371
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2021 april";1106
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2021 mei";1057
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2021 juni";1133
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2021 juli";1132
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2021 augustus";868
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2021 september";1067
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2021 oktober";1084
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2021 november";1077
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2021 december";1214
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2022 januari*";1648
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2022 februari*";1057
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2022 maart*";1401
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2022 april*";1043
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2022 mei*";1092
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2022 juni*";1100
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2022 juli*";1044
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2022 augustus*";859
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2022 september*";944
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2022 oktober*";1079
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2022 november*";1163
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2022 december*";1025
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2023 januari*";1321
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2023 februari*";1055
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2023 maart*";1302
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2023 april*";1039
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2023 mei*";1177
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2023 juni*";1160
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2023 juli*";1229
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2023 augustus*";1161
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2023 september*";1309
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2023 oktober*";1121
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2023 november*";1181
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2023 december*";930
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2024 januari*";1466
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2024 februari*";1037
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2024 maart*";1321
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2024 april*";1437
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2024 mei*";1237
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2024 juni*";1116
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2024 juli*";1220
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2024 augustus*";962
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2024 september*";1132
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2024 oktober*";1351
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2024 november*";1618
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2024 december*";2617
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2025 januari*";1222
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2025 februari*";1194
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2025 maart*";1593
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2025 april*";1230
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2025 mei*";1037
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2025 juni*";1010
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2025 juli*";1121
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2025 augustus*";795
"Vrachtauto (excl. trekker voor oplegger)";"Totaal";"2025 september*";1053
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2021 januari";17
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2021 februari";19
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2021 maart";10
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2021 april";8
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2021 mei";12
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2021 juni";14
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2021 juli";10
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2021 augustus";5
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2021 september";20
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2021 oktober";10
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2021 november";6
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2021 december";6
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2022 januari*";10
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2022 februari*";8
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2022 maart*";15
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2022 april*";8
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2022 mei*";12
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2022 juni*";10
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2022 juli*";13
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2022 augustus*";10
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2022 september*";11
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2022 oktober*";8
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2022 november*";9
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2022 december*";7
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2023 januari*";14
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2023 februari*";8
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2023 maart*";13
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2023 april*";7
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2023 mei*";13
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2023 juni*";11
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2023 juli*";10
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2023 augustus*";13
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2023 september*";11
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2023 oktober*";7
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2023 november*";7
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2023 december*";9
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2024 januari*";9
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2024 februari*";2
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2024 maart*";10
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2024 april*";13
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2024 mei*";10
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2024 juni*";9
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2024 juli*";10
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2024 augustus*";13
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2024 september*";10
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2024 oktober*";9
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2024 november*";11
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2024 december*";12
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2025 januari*";5
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2025 februari*";6
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2025 maart*";11
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2025 april*";8
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2025 mei*";10
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2025 juni*";12
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2025 juli*";8
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2025 augustus*";11
"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"2025 september*";7
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2021 januari";1259
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2021 februari";1084
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2021 maart";1338
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2021 april";1089
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2021 mei";1028
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2021 juni";1113
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2021 juli";1110
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2021 augustus";848
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2021 september";1026
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2021 oktober";1057
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2021 november";1058
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2021 december";1185
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2022 januari*";1609
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2022 februari*";1038
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2022 maart*";1369
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2022 april*";1025
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2022 mei*";1057
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2022 juni*";1075
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2022 juli*";1019
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2022 augustus*";833
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2022 september*";923
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2022 oktober*";1050
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2022 november*";1131
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2022 december*";988
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2023 januari*";1270
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2023 februari*";998
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2023 maart*";1218
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2023 april*";939
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2023 mei*";1026
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2023 juni*";1065
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2023 juli*";1158
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2023 augustus*";1088
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2023 september*";941
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2023 oktober*";1078
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2023 november*";1126
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2023 december*";889
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2024 januari*";1415
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2024 februari*";999
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2024 maart*";1273
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2024 april*";1337
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2024 mei*";1166
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2024 juni*";1056
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2024 juli*";1129
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2024 augustus*";908
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2024 september*";1085
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2024 oktober*";1289
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2024 november*";1568
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2024 december*";2527
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2025 januari*";1166
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2025 februari*";1076
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2025 maart*";1140
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2025 april*";1111
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2025 mei*";958
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2025 juni*";901
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2025 juli*";1000
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2025 augustus*";693
"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"2025 september*";953
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2021 januari";7
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2021 februari";2
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2021 maart";5
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2021 april";3
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2021 mei";3
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2021 juni";1
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2021 juli";7
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2021 augustus";6
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2021 september";6
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2021 oktober";6
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2021 november";7
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2021 december";6
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2022 januari*";5
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2022 februari*";5
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2022 maart*";4
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2022 april*";5
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2022 mei*";12
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2022 juni*";6
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2022 juli*";6
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2022 augustus*";6
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2022 september*";1
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2022 oktober*";5
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2022 november*";7
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2022 december*";8
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2023 januari*";7
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2023 februari*";2
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2023 maart*";6
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2023 april*";1
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2023 mei*";3
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2023 juni*";9
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2023 juli*";8
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2023 augustus*";6
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2023 september*";3
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2023 oktober*";11
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2023 november*";7
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2023 december*";8
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2024 januari*";4
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2024 februari*";2
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2024 maart*";5
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2024 april*";2
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2024 mei*";12
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2024 juni*";7
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2024 juli*";8
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2024 augustus*";8
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2024 september*";9
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2024 oktober*";7
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2024 november*";5
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2024 december*";3
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2025 januari*";6
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2025 februari*";7
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2025 maart*";7
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2025 april*";3
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2025 mei*";9
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2025 juni*";2
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2025 juli*";3
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2025 augustus*";3
"Vrachtauto (excl. trekker voor oplegger)";"Lpg";"2025 september*";4
"Vrachtauto (excl. trekker voor oplegger)";"Full elektric (BEV)";"2021 januari";7
"Vrachtauto (excl. trekker voor oplegger)";"Full elektric (BEV)";"2021 februari";0
"Vrachtauto (excl. trekker voor oplegger)";"Full elektric (BEV)";"2021 maart";3
"Vrachtauto (excl. trekker voor oplegger)";"Full elektric (BEV)";"2021 april";1
"Vrachtauto (excl. trekker voor oplegger)";"Full elektric (BEV)";"2021 mei";5
"Vrachtauto (excl. trekker voor oplegger)";"Full elektric (BEV)";"2021 juni";2
"Vrachtauto (excl. trekker voor oplegger)";"Full elektric (BEV)";"2021 juli";2
"Vrachtauto (excl. trekker voor oplegger)";"Full elektric (BEV)";"2021 augustus";7
"Vrachtauto (excl. trekker voor oplegger)";"Full elektric (BEV)";"2021 september";12
"Vrachtauto (excl. trekker voor oplegger)";"Full elektric (BEV)";"2021 oktober";5
"Vrachtauto (excl. trekker voor oplegger)";"Full elektric (BEV)";"2021 november";1
"Vrachtauto (excl. trekker voor oplegger)";"Full elektric (BEV)";"2021 december";9
"Vrachtauto (excl. trekker voor oplegger)";"Full elektric (BEV)";"2022 januari*";16
"Vrachtauto (excl. trekker voor oplegger)";"Full elektric (BEV)";"2022 februari*";2
"Vrachtauto (excl. trekker voor oplegger)";"Full elektric (BEV)";"2022 maart*";7
"Vrachtauto (excl. trekker voor oplegger)";"Full elektric (BEV)";"2022 april*";3
"Vrachtauto (excl. trekker voor oplegger)";"Full elektric (BEV)";"2022 mei*";6
"Vrachtauto (excl. trekker voor oplegger)";"Full elektric (BEV)";"2022 juni*";9
