"Wegvoertuigen";"Brandstofsoort voertuig";"Perioden";"Totaal verkochte wegvoertuigen (aantal)"
"Personenauto";"Totaal";"2020 mei";"  265615"
"Personenauto";"Totaal";"2020 juni";"  289671"
"Personenauto";"Totaal";"2020 juli";"  307111"
"Personenauto";"Totaal";"2020 augustus";"  257447"
"Personenauto";"Totaal";"2020 september";"  274543"
"Personenauto";"Totaal";"2020 oktober";"  289688"
"Personenauto";"Totaal";"2020 november";"  261947"
"Personenauto";"Totaal";"2020 december";"  270898"
"Personenauto";"Totaal";"2021 januari";"  268443"
"Personenauto";"Totaal";"2021 februari";"  237428"
"Personenauto";"Totaal";"2021 maart";"  289652"
"Personenauto";"Totaal";"2021 april";"  272934"
"Personenauto";"Totaal";"2021 mei";"  282349"
"Personenauto";"Totaal";"2021 juni";"  297957"
"Personenauto";"Totaal";"2021 juli";"  287885"
"Personenauto";"Totaal";"2021 augustus";"  244144"
"Personenauto";"Totaal";"2021 september";"  258140"
"Personenauto";"Totaal";"2021 oktober";"  261408"
"Personenauto";"Totaal";"2021 november";"  249016"
"Personenauto";"Totaal";"2021 december";"  258705"
"Personenauto";"Totaal";"2022 januari*";"  276135"
"Personenauto";"Totaal";"2022 februari*";"  242386"
"Personenauto";"Totaal";"2022 maart*";"  253928"
"Personenauto";"Totaal";"2022 april*";"  235136"
"Personenauto";"Totaal";"2022 mei*";"  237115"
"Personenauto";"Totaal";"2022 juni*";"  252449"
"Personenauto";"Totaal";"2022 juli*";"  236272"
"Personenauto";"Totaal";"2022 augustus*";"  222048"
"Personenauto";"Totaal";"2022 september*";"  235849"
"Personenauto";"Totaal";"2022 oktober*";"  239258"
"Personenauto";"Totaal";"2022 november*";"  241480"
"Personenauto";"Totaal";"2022 december*";"  234429"
"Personenauto";"Totaal";"2023 januari*";"  261993"
"Personenauto";"Totaal";"2023 februari*";"  243049"
"Personenauto";"Totaal";"2023 maart*";"  283018"
"Personenauto";"Totaal";"2023 april*";"  245695"
"Personenauto";"Totaal";"2023 mei*";"  261143"
"Personenauto";"Totaal";"2023 juni*";"  283218"
"Personenauto";"Totaal";"2023 juli*";"  262600"
"Personenauto";"Totaal";"2023 augustus*";"  246839"
"Personenauto";"Totaal";"2023 september*";"  254920"
"Personenauto";"Totaal";"2023 oktober*";"  261486"
"Personenauto";"Totaal";"2023 november*";"  263724"
"Personenauto";"Totaal";"2023 december*";"  250733"
"Personenauto";"Totaal";"2024 januari*";"  290748"
"Personenauto";"Totaal";"2024 februari*";"  274958"
"Personenauto";"Totaal";"2024 maart*";"  298540"
"Personenauto";"Totaal";"2024 april*";"  277264"
"Personenauto";"Totaal";"2024 mei*";"  282771"
"Personenauto";"Totaal";"2024 juni*";"  283084"
"Personenauto";"Totaal";"2024 juli*";"  280248"
"Personenauto";"Totaal";"2024 augustus*";"  257228"
"Personenauto";"Totaal";"2024 september*";"  268295"
"Personenauto";"Totaal";"2024 oktober*";"  298430"
"Personenauto";"Totaal";"2024 november*";"  290301"
"Personenauto";"Totaal";"2024 december*";"  276946"
"Personenauto";"Totaal";"2025 januari*";"  311367"
"Personenauto";"Totaal";"2025 februari*";"  283406"
"Personenauto";"Totaal";"2025 maart*";"  299600"
"Personenauto";"Totaal";"2025 april*";"  282473"
"Personenauto";"Totaal";"2025 mei*";"  296401"
"Personenauto";"Totaal";"2025 juni*";"  288087"
"Personenauto";"Totaal";"2025 juli*";"  297592"
"Personenauto";"Totaal";"2025 augustus*";"  262871"
"Personenauto";"Totaal";"2025 september*";"  283048"
"Personenauto";"Totaal";"2025 oktober*";"  303116"
"Personenauto";"Totaal";"2025 november*";"  289484"
"Personenauto";"Totaal";"2025 december*";"  297384"
