"Bestedingscategorieën";"Perioden";"CPI (2015 = 100)";"Jaarmutatie CPI (%)"
"071110 Nieuwe auto's";"2008 april";"   89.39";"    -0.7"
"071110 Nieuwe auto's";"2008 mei";"   89.15";"    -1.1"
"071110 Nieuwe auto's";"2008 juni";"   89.14";"    -1.1"
"071110 Nieuwe auto's";"2008 juli";"   88.97";"    -1.2"
"071110 Nieuwe auto's";"2008 augustus";"   88.92";"    -1.1"
"071110 Nieuwe auto's";"2008 september";"   88.75";"    -1.3"
"071110 Nieuwe auto's";"2008 oktober";"   89.12";"    -1.0"
"071110 Nieuwe auto's";"2008 november";"   89.25";"    -0.8"
"071110 Nieuwe auto's";"2008 december";"   89.40";"    -0.6"
"071110 Nieuwe auto's";"2009 januari";"   88.93";"    -1.2"
"071110 Nieuwe auto's";"2009 februari";"   89.14";"    -0.2"
"071110 Nieuwe auto's";"2009 maart";"   89.05";"    -0.2"
"071110 Nieuwe auto's";"2009 april";"   89.19";"    -0.2"
"071110 Nieuwe auto's";"2009 mei";"   89.42";"     0.3"
"071110 Nieuwe auto's";"2009 juni";"   89.31";"     0.2"
"071110 Nieuwe auto's";"2009 juli";"   89.08";"     0.1"
"071110 Nieuwe auto's";"2009 augustus";"   89.13";"     0.2"
"071110 Nieuwe auto's";"2009 september";"   89.20";"     0.5"
"071110 Nieuwe auto's";"2009 oktober";"   88.95";"    -0.2"
"071110 Nieuwe auto's";"2009 november";"   88.96";"    -0.3"
"071110 Nieuwe auto's";"2009 december";"   88.87";"    -0.6"
"071110 Nieuwe auto's";"2010 januari";"   89.55";"     0.7"
"071110 Nieuwe auto's";"2010 februari";"   89.33";"     0.2"
"071110 Nieuwe auto's";"2010 maart";"   89.61";"     0.6"
"071110 Nieuwe auto's";"2010 april";"   88.60";"    -0.7"
"071110 Nieuwe auto's";"2010 mei";"   88.62";"    -0.9"
"071110 Nieuwe auto's";"2010 juni";"   88.63";"    -0.8"
"071110 Nieuwe auto's";"2010 juli";"   88.91";"    -0.2"
"071110 Nieuwe auto's";"2010 augustus";"   88.59";"    -0.6"
"071110 Nieuwe auto's";"2010 september";"   88.66";"    -0.6"
"071110 Nieuwe auto's";"2010 oktober";"   88.44";"    -0.6"
"071110 Nieuwe auto's";"2010 november";"   88.09";"    -1.0"
"071110 Nieuwe auto's";"2010 december";"   87.56";"    -1.5"
"071110 Nieuwe auto's";"2011 januari";"   88.03";"    -1.7"
"071110 Nieuwe auto's";"2011 februari";"   88.09";"    -1.4"
"071110 Nieuwe auto's";"2011 maart";"   88.14";"    -1.6"
"071110 Nieuwe auto's";"2011 april";"   87.99";"    -0.7"
"071110 Nieuwe auto's";"2011 mei";"   88.16";"    -0.5"
"071110 Nieuwe auto's";"2011 juni";"   88.11";"    -0.6"
"071110 Nieuwe auto's";"2011 juli";"   88.24";"    -0.8"
"071110 Nieuwe auto's";"2011 augustus";"   88.19";"    -0.5"
"071110 Nieuwe auto's";"2011 september";"   87.97";"    -0.8"
"071110 Nieuwe auto's";"2011 oktober";"   87.97";"    -0.5"
"071110 Nieuwe auto's";"2011 november";"   87.82";"    -0.3"
"071110 Nieuwe auto's";"2011 december";"   87.80";"     0.3"
"071110 Nieuwe auto's";"2012 januari";"   88.27";"     0.3"
"071110 Nieuwe auto's";"2012 februari";"   88.03";"    -0.1"
"071110 Nieuwe auto's";"2012 maart";"   87.62";"    -0.6"
"071110 Nieuwe auto's";"2012 april";"   87.72";"    -0.3"
"071110 Nieuwe auto's";"2012 mei";"   87.72";"    -0.5"
"071110 Nieuwe auto's";"2012 juni";"   87.95";"    -0.2"
"071110 Nieuwe auto's";"2012 juli";"   92.03";"     4.3"
"071110 Nieuwe auto's";"2012 augustus";"   92.03";"     4.4"
"071110 Nieuwe auto's";"2012 september";"   89.77";"     2.0"
"071110 Nieuwe auto's";"2012 oktober";"   91.59";"     4.1"
"071110 Nieuwe auto's";"2012 november";"   91.56";"     4.3"
"071110 Nieuwe auto's";"2012 december";"   91.56";"     4.3"
"071110 Nieuwe auto's";"2013 januari";"   95.13";"     7.8"
"071110 Nieuwe auto's";"2013 februari";"   95.13";"     8.1"
"071110 Nieuwe auto's";"2013 maart";"   95.31";"     8.8"
"071110 Nieuwe auto's";"2013 april";"   95.06";"     8.4"
"071110 Nieuwe auto's";"2013 mei";"   95.06";"     8.4"
"071110 Nieuwe auto's";"2013 juni";"   95.06";"     8.1"
"071110 Nieuwe auto's";"2013 juli";"   95.02";"     3.2"
"071110 Nieuwe auto's";"2013 augustus";"   94.98";"     3.2"
"071110 Nieuwe auto's";"2013 september";"   94.98";"     5.8"
"071110 Nieuwe auto's";"2013 oktober";"   94.98";"     3.7"
"071110 Nieuwe auto's";"2013 november";"   95.42";"     4.2"
"071110 Nieuwe auto's";"2013 december";"   95.20";"     4.0"
"071110 Nieuwe auto's";"2014 januari";"   97.57";"     2.6"
"071110 Nieuwe auto's";"2014 februari";"   97.64";"     2.6"
"071110 Nieuwe auto's";"2014 maart";"   97.45";"     2.2"
"071110 Nieuwe auto's";"2014 april";"   97.09";"     2.1"
