,Jaar_Maand,Beginstand,Jaarpremie_Beginstand,Eindstand,Jaarpremie_Eindstand,NewBusiness,Jaarpremie_NewBusiness,Royementen,Geroyeerde_Jaarpremie,Prolongaties,Jaarpremie_voor_Prolongatie,Jaarpremie_na_Prolongatie,Mutaties,Jaarpremie_voor_Mutatie,Jaarpremie_na_Mutatie,Gemiddelde_Jaarpremie_Beginstand,Gemiddelde_Jaarpremie_Eindstand,Jaarpremie_Prolongatie,Gemiddelde_Jaarpremie_voor_Prolongatie,Gemiddelde_Jaarpremie_na_Prolongatie,Datum,Log_NewBusiness,Log_Royementen,Log_Prolongaties
40,201805,147080,70770802.78,147117,71276183.61,1934,1060357.93,1799,897481.3,9946,4486033.75,4853188.85,3388,1746064.02,1771784.33,526.7551575,530.98875195,367155.10000000003,532.2508442000001,559.0127951,2018-05-01,7.5678626054638825,7.495541943884256,9.205026277152413
41,201806,147117,71276183.61,147469,71803101.08,2197,1248364.62,1728,855656.7,10415,4953869.4,5139774.55,3729,1965658.77,1976532.05,530.98875195,533.5148301,185905.15000000002,559.4863873500001,578.87700635,2018-06-01,7.6953031349635665,7.455298485683291,9.251098364448351
42,201807,147469,71803101.08,147595,72180973.68,1975,1128703.3199999998,1728,871294.73,10180,4851261.890000001,5021400.07,3395,1810423.24,1827340.34,533.5148301,534.46874085,170138.18,515.7315497,535.72076025,2018-07-01,7.588829878307813,7.455298485683291,9.228278517107196
43,201808,147595,72180973.68,147590,72457466.73,1902,1077768.17,1746,887623.67,9302,4356474.26,4497719.47,3147,1670236.73,1656039.62,534.46874085,537.88178785,141245.21000000002,464.1982598000001,487.5501711,2018-08-01,7.551186867296149,7.465655310134056,9.138092207768558
44,201809,147591,72458331.98,147882,72859910.51,1888,1060773.04,1512,778561.91,9483,4438191.81,4578658.93,3207,1657700.25,1673494.46,553.4707503333333,555.3892884285715,140467.12,474.5667696666667,491.5514115714285,2018-09-01,7.543802867501509,7.321849713788356,9.157361447185297
45,201810,147882,72859910.51,147858,73109457.45,1838,1046789.63,1775,903457.6699999999,10540,4977345.649999999,5114278.51,3392,1800202.99,1812780.56,555.3892884285715,559.2172394285715,136932.86,485.06424242857145,501.4256981428572,2018-10-01,7.516977224604321,7.4821189235521155,9.26302769425519
46,201811,147858,73109457.45,147966,73436484.17,1905,1101094.97,1675,861006.9099999999,10698,5101252.13,5234272.7700000005,3623,1932225.75,1944072.82,559.2172394285715,558.3628772380953,133020.64,505.68576719047616,524.0316151904763,2018-11-01,7.552762084214147,7.424165281042028,9.277905558138606
47,201812,147966,73436484.17,147875,73612901.10000001,1651,953467.6900000001,1650,855240.8400000001,9940,4711423.82,4825297.99,3470,1809679.9000000001,1810709.51,558.3628772380953,560.1508017619047,113874.17,464.5246873809524,477.64599761904765,2018-12-01,7.409741954080923,7.409136443920128,9.204422898212146
48,201901,147875,73612901.1,147729,73626411.39,2013,1133532.01,1974,1020603.73,15836,7726083.68,7730203.91,4614,2450806.85,2443647.3,560.1508017619047,560.092735,4120.23,489.3333652380952,493.3841524761905,2019-01-01,7.607878073278507,7.5883236773352225,9.670104253491726
49,201902,147729,73626411.39,147622,73630509.72,1741,991253.8500000001,1745,901789.0,9939,4855612.93,4846235.14,3280,1737219.34,1724207.23,560.092735,562.065802095238,-9377.79,499.4094856190476,502.67703204761904,2019-02-01,7.462789157412448,7.465082736399547,9.20432229965062
