,Jaar_Maand,Product,Label_Naam,Beginstand,Jaarpremie_Beginstand,Eindstand,Jaarpremie_Eindstand,NewBusiness,Jaarpremie_NewBusiness,Royementen,Geroyeerde_Jaarpremie,Prolongaties,Jaarpremie_voor_Prolongatie,Jaarpremie_na_Prolongatie,Mutaties,Jaarpremie_voor_Mutatie,Jaarpremie_na_Mutatie,Gemiddelde_Jaarpremie_Beginstand,Gemiddelde_Jaarpremie_Eindstand,Jaarpremie_Prolongatie,Gemiddelde_Jaarpremie_voor_Prolongatie,Gemiddelde_Jaarpremie_na_Prolongatie,CBS_Autoverkopen_Totaal,CPI_Verzekeringen_Vervoer,Jaarmutatie_CPI_Verzekeringen_Vervoer,CPI_Nieuwe_Autos,Jaarmutatie_CPI_Nieuwe_Autos,CPI_Tweedehands_Autos,Jaarmutatie_CPI_Tweedehands_Autos,CPI_Onderhoud_en_Reparatie_Privevoertuigen,Jaarmutatie_CPI_Onderhoud_en_Reparatie_Privevoertuigen,CPI_Brandstoffen,Jaarmutatie_CPI_Brandstoffen
73,202108,Auto Particulier,BCS Polis,2427,1308495.33,2418,1306661.9,28,18269.93,39,23452.06,173,88691.78,90348.61,40,19494.15,20050.86,539.14105,540.389536,1656.83,512.669248,522.2463,244144,123.04,0.2,119.49,3.6,104.25,5.0,115.01,3.1,119.17,18.3
74,202109,Auto Particulier,BCS Polis,2418,1306661.9,2415,1306118.73,30,16141.94,29,14118.09,172,88426.77,88515.69,50,26782.13,25759.74,540.389536,540.835913,88.92,514.109127,514.626104,258140,122.83,0.0,119.64,3.7,104.62,4.6,115.43,5.0,120.54,20.4
75,202110,Auto Particulier,BCS Polis,2415,1306118.73,2410,1306596.82,26,17443.41,30,17180.9,182,97716.09,99067.88,23,13022.59,12165.49,540.835913,542.156356,1351.79,536.901593,544.32901,261408,121.82,-0.6,119.52,4.0,106.74,5.6,115.7,5.6,127.26,27.3
76,202111,Auto Particulier,BCS Polis,2410,1306596.82,2410,1308020.23,30,17915.91,29,17345.43,184,99399.58,99338.2,53,36861.9,38410.6,542.156356,542.746983,-61.38,540.215108,539.881521,249016,121.88,-0.6,119.63,4.4,107.91,6.1,116.04,5.8,131.07,33.1
77,202112,Auto Particulier,BCS Polis,2410,1308020.23,2401,1308961.15,25,17154.37,32,16825.82,175,98858.3,98966.73,45,23740.41,25562.36,542.746983,545.173323,108.43,564.904571,565.524171,258705,118.05,-3.6,119.77,4.5,108.64,6.7,116.51,6.2,128.69,27.8
78,202201,Auto Particulier,BCS Polis,2401,1308961.15,2383,1302719.67,24,14191.1,40,21112.43,221,122297.61,125308.55,51,29503.49,28289.7,545.173323,546.672123,3010.94,553.38285,567.007013,276135,117.16,-4.9,123.65,4.5,110.28,8.3,116.41,6.0,131.05,24.9
79,202202,Auto Particulier,BCS Polis,2383,1302719.67,2379,1305410.51,24,15783.11,26,11883.75,151,77820.33,77888.9,37,21581.97,22038.48,546.672123,548.722366,68.57,515.366423,515.820529,242386,116.98,-5.2,123.95,4.7,110.94,9.4,117.35,6.6,135.31,24.0
80,202203,Auto Particulier,BCS Polis,2379,1305410.51,2377,1310491.03,28,18056.13,28,15526.18,192,98925.06,101390.76,49,33571.59,34895.68,548.722366,551.321426,2465.7,515.234687,528.076875,253928,115.66,-6.4,124.45,4.8,111.29,10.0,117.77,7.0,153.7,36.5
81,202204,Auto Particulier,BCS Polis,2377,1310491.03,2373,1311860.7,28,17615.99,29,16368.88,147,77144.24,77925.38,40,22799.02,23237.39,551.321426,552.827939,781.14,524.790748,530.104625,235136,114.64,-7.3,125.04,5.2,112.28,10.4,118.58,7.2,141.45,24.8
82,202205,Auto Particulier,BCS Polis,2373,1311860.7,2377,1316015.63,28,17174.41,24,14052.84,175,100815.71,100245.8,48,30302.31,32160.63,552.827939,553.645616,-569.91,576.089771,572.833142,237115,114.73,-6.8,126.17,6.7,113.52,11.6,119.25,5.4,146.51,27.3
