Jaar_Maand,Product,Label_Naam,Beginstand,Jaarpremie_Beginstand,Eindstand,Jaarpremie_Eindstand,NewBusiness,Jaarpremie_NewBusiness,Royementen,Geroyeerde_Jaarpremie,Prolongaties,Jaarpremie_voor_Prolongatie,Jaarpremie_na_Prolongatie,Mutaties,Jaarpremie_voor_Mutatie,Jaarpremie_na_Mutatie,Gemiddelde_Jaarpremie_Beginstand,Gemiddelde_Jaarpremie_Eindstand,Jaarpremie_Prolongatie,Gemiddelde_Jaarpremie_voor_Prolongatie,Gemiddelde_Jaarpremie_na_Prolongatie
200409,Auto Particulier,BOVAG Polis,3880,1636395.75,3905,1654685.73,25,11329.08,0,0.00,232,96203.40,101402.44,66,30607.38,32369.24,421.751481,423.735142,5199.04,414.669827,437.079482
200410,Auto Particulier,BOVAG Polis,3905,1654685.73,3945,1677038.76,40,15663.71,0,0.00,303,116571.33,125569.46,75,32237.07,29928.26,423.735142,425.104882,8998.13,384.723861,414.420660
200411,Auto Particulier,BOVAG Polis,3945,1677038.76,3986,1704718.64,41,19107.25,0,0.00,290,110569.68,121232.36,98,43556.06,41466.01,425.104882,427.676527,10662.68,381.274758,418.042620
200412,Auto Particulier,BOVAG Polis,3986,1704718.64,4040,1728319.43,54,20377.69,0,0.00,215,84775.57,89842.64,35,15276.01,13432.04,427.676527,427.801839,5067.07,394.304976,417.872744
200501,Auto Particulier,BOVAG Polis,4040,1728319.43,4096,1754950.56,56,22480.31,0,0.00,272,107442.43,112729.66,161,66988.94,65649.34,427.801839,428.454726,5287.23,395.008933,414.447279
200502,Auto Particulier,BOVAG Polis,4096,1754950.56,4144,1770674.77,48,17250.65,0,0.00,208,84027.43,84114.64,130,53261.20,51647.55,428.454726,427.286382,87.21,403.978028,404.397307
200503,Auto Particulier,BOVAG Polis,4144,1770674.77,4193,1783208.57,49,18542.95,0,0.00,205,89039.05,84018.00,76,34946.36,33958.26,427.286382,425.282272,-5021.05,434.336829,409.843902
200504,Auto Particulier,BOVAG Polis,4193,1783208.57,4245,1793277.02,52,19676.20,0,0.00,255,111804.94,102820.86,96,43684.87,43061.20,425.282272,422.444527,-8984.08,438.450745,403.219058
200505,Auto Particulier,BOVAG Polis,4245,1793277.02,4300,1805004.29,55,21687.88,0,0.00,231,101523.28,93129.25,56,25881.62,24315.04,422.444527,419.768439,-8394.03,439.494718,403.156926
200506,Auto Particulier,BOVAG Polis,4300,1805004.29,4355,1819955.60,55,20907.93,0,0.00,185,81783.88,78552.22,66,27040.39,24315.43,419.768439,417.900252,-3231.66,442.075027,424.606594
200507,Auto Particulier,BOVAG Polis,4355,1819955.60,4429,1844976.90,75,31394.24,0,0.00,268,117008.84,113534.39,61,30496.71,27939.22,417.900252,416.567374,-3474.45,436.600149,423.635783
200508,Auto Particulier,BOVAG Polis,4429,1844976.90,4492,1861446.47,64,23370.68,0,0.00,235,104011.92,98085.79,59,26170.84,26042.80,416.567374,414.391467,-5926.13,442.603914,417.386340
200509,Auto Particulier,BOVAG Polis,4492,1861446.47,4550,1869393.58,59,19651.05,0,0.00,277,120470.83,113370.07,45,24271.13,20026.75,414.391467,410.855731,-7100.76,434.912743,409.278231
200510,Auto Particulier,BOVAG Polis,4550,1869393.58,4642,1899751.57,92,37013.55,0,0.00,374,153316.79,147638.47,43,17381.42,16404.18,410.855731,409.252815,-5678.32,409.937941,394.755267
200511,Auto Particulier,BOVAG Polis,4642,1899751.57,4724,1916775.01,82,29884.67,0,0.00,374,157478.76,147444.07,56,24790.08,21963.54,409.252815,405.752542,-10034.69,421.066203,394.235481
200512,Auto Particulier,BOVAG Polis,4724,1916775.01,4786,1934896.13,62,26260.55,0,0.00,258,106130.78,101987.41,45,17355.59,13359.53,405.752542,404.282517,-4143.37,411.359612,395.300038
200601,Auto Particulier,BOVAG Polis,4786,1934896.13,4873,1955196.90,89,33725.84,0,0.00,321,131126.56,125517.73,167,70006.15,62461.35,404.282517,401.230638,-5608.83,408.493956,391.020965
200602,Auto Particulier,BOVAG Polis,4873,1955196.90,4946,1974844.28,74,27889.41,0,0.00,259,102975.77,99931.94,126,49485.07,44838.87,401.230638,399.281091,-3043.83,397.589845,385.837606
200603,Auto Particulier,BOVAG Polis,4946,1974844.28,5011,1993077.59,65,25134.74,0,0.00,225,95621.55,91536.93,104,40720.66,37903.85,399.281091,397.740488,-4084.62,424.984666,406.830800
200604,Auto Particulier,BOVAG Polis,5011,1993077.59,5068,2010834.65,59,24604.16,0,0.00,287,115031.38,114010.03,116,50254.68,45545.93,397.740488,396.770846,-1021.35,400.806202,397.247491
200605,Auto Particulier,BOVAG Polis,5068,2010834.65,5113,2018354.65,45,15220.73,0,0.00,246,99032.07,95581.31,96,40100.10,35850.13,396.770846,394.749589,-3450.76,402.569390,388.541910
200606,Auto Particulier,BOVAG Polis,5113,2018354.65,5158,2030912.85,48,18741.73,0,0.00,212,86462.54,85484.09,91,36051.04,32107.96,394.749589,393.740374,-978.45,407.842169,403.226839
200607,Auto Particulier,BOVAG Polis,5158,2030912.85,5224,2044069.70,65,25059.77,0,0.00,298,130507.50,124734.70,107,42754.35,36230.23,393.740374,391.284398,-5772.80,437.944630,418.572818
200608,Auto Particulier,BOVAG Polis,5224,2044069.70,5280,2058459.46,57,21920.45,0,0.00,268,111677.24,108640.38,88,35743.15,30783.36,391.284398,389.859746,-3036.86,416.706119,405.374552
200609,Auto Particulier,BOVAG Polis,5280,2058459.46,5340,2071692.51,60,23069.67,0,0.00,297,121488.37,117951.35,83,31321.50,25021.90,389.859746,387.957398,-3537.02,409.051750,397.142592
200610,Auto Particulier,BOVAG Polis,5340,2071692.51,5426,2091795.74,87,30580.51,0,0.00,399,158593.00,155671.22,110,42210.42,35145.70,387.957398,385.513405,-2921.78,397.476190,390.153433
200611,Auto Particulier,BOVAG Polis,5426,2091795.74,5480,2100815.22,55,18718.10,0,0.00,402,157325.91,157977.20,108,41426.95,31402.46,385.513405,383.360441,651.29,391.357985,392.978109
200612,Auto Particulier,BOVAG Polis,5480,2100815.22,5538,2114124.32,58,21025.34,0,0.00,296,118006.02,114261.16,69,23601.47,19630.09,383.360441,381.748703,-3744.86,398.668986,386.017432
200701,Auto Particulier,BOVAG Polis,5538,2114124.32,5610,2130770.03,76,26325.93,0,0.00,341,134100.21,132302.66,233,85641.15,79884.04,381.748703,379.816404,-1797.55,393.255747,387.984340
200702,Auto Particulier,BOVAG Polis,5610,2130770.03,5661,2139490.79,52,20415.37,0,0.00,268,103454.86,100437.16,190,69028.12,60528.45,379.816404,377.935133,-3017.70,386.025597,374.765522
200703,Auto Particulier,BOVAG Polis,5661,2139490.79,5738,2161902.62,78,30880.14,0,0.00,263,106754.13,101880.40,129,47342.27,43941.67,377.935133,376.769365,-4873.73,405.909239,387.377946
200704,Auto Particulier,BOVAG Polis,5738,2161902.62,5801,2171598.69,67,21926.78,0,0.00,311,125970.35,120538.48,147,56293.49,51390.93,376.769365,374.349024,-5431.87,405.049356,387.583536
200705,Auto Particulier,BOVAG Polis,5801,2171598.69,5852,2186608.75,54,21457.63,0,0.00,257,99489.59,98073.89,127,45953.28,42130.71,374.349024,373.651529,-1415.70,387.119027,381.610466
200706,Auto Particulier,BOVAG Polis,5852,2186608.75,5915,2199376.53,62,22973.21,0,0.00,244,97163.84,93498.34,108,38953.58,32630.01,373.651529,371.830351,-3665.50,398.212459,383.189918
200707,Auto Particulier,BOVAG Polis,5915,2199376.53,5981,2214814.14,66,25168.42,0,0.00,326,131224.26,126961.92,144,55538.71,49331.97,371.830351,370.308333,-4262.34,402.528404,389.453742
200708,Auto Particulier,BOVAG Polis,5981,2214814.14,6066,2232950.84,86,28516.71,0,0.00,301,116286.48,113354.83,111,43835.29,37609.35,370.308333,368.109271,-2931.65,386.333820,376.594119
200709,Auto Particulier,BOVAG Polis,6066,2232950.84,6132,2250850.18,66,24742.44,0,0.00,328,127600.54,124597.75,112,38481.22,34602.07,368.109271,367.066239,-3002.79,389.026036,379.871189
200710,Auto Particulier,BOVAG Polis,6132,2250850.18,6218,2265062.22,88,27535.10,0,0.00,448,173785.22,165805.29,145,47168.99,42107.08,367.066239,364.275043,-7979.93,387.913437,370.101093
200711,Auto Particulier,BOVAG Polis,6218,2265062.22,6292,2281244.30,77,27580.63,0,0.00,432,162360.70,157753.48,131,44614.50,39159.73,364.275043,362.562666,-4607.22,375.834953,365.170092
